,,{uniform;explicit;math},
asset,rep_period,specification,partition
GR_Pump_Hydro_Closed,1,uniform,4
GR_Pump_Hydro_Open,1,uniform,4
GR_H_Demand,1,uniform,4
GR_Blue_Hydrogen,1,uniform,4
GR_PEMEC,1,uniform,4
GR_PEMFC,1,uniform,4
GR_H2Tank,1,uniform,4
BG_E_Balance,1,uniform,5
BG_E_Demand,1,uniform,5
BG_E_ENS,1,uniform,5
BG_Wind_Onshore,1,uniform,5
BG_Solar,1,uniform,5
BG_Hydro,1,uniform,5
BG_Hydro_Reservoir,1,uniform,5
BG_Nuclear,1,uniform,5
BG_Battery,1,uniform,5
BG_Pump_Hydro_Closed,1,uniform,5
BG_Pump_Hydro_Open,1,uniform,5
BG_PEMEC,1,uniform,5
BG_PEMFC,1,uniform,5
BG_H2Tank,1,uniform,5
RO_E_Balance,1,uniform,4
RO_E_Demand,1,uniform,4
RO_E_ENS,1,uniform,4
RO_Wind_Onshore,1,uniform,4
RO_Solar,1,uniform,4
RO_Hydro,1,uniform,4
RO_Hydro_Reservoir,1,uniform,4
RO_Nuclear,1,uniform,4
RO_Battery,1,uniform,4
RO_Pump_Hydro_Open,1,uniform,4
RO_H_Demand,1,uniform,4
RO_Blue_Hydrogen,1,uniform,4
RO_PEMEC,1,uniform,4
RO_PEMFC,1,uniform,4
RO_H2Tank,1,uniform,4
CY_E_Balance,1,uniform,5
CY_E_Demand,1,uniform,5
CY_E_ENS,1,uniform,5
CY_Wind_Onshore,1,uniform,5
CY_Solar,1,uniform,5
CY_Battery,1,uniform,5
CY_PEMEC,1,uniform,5
CY_PEMFC,1,uniform,5
CY_H2Tank,1,uniform,5
