,{producer;consumer;storage;hub;conversion},{true;false},{true;false},{true;false},kEUR/MW/year,MW,MW,MW,MW,{true;false},MWh/year,MWh,MWh,h
name,type,active,investable,investment_integer,investment_cost,investment_limit,capacity,initial_capacity,peak_demand,is_seasonal,storage_inflows,initial_storage_capacity,initial_storage_level,energy_to_power_ratio
IE_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
IE_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
IE_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
CH_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
CH_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,10383.0,False,0,0.0,0.0,0
CH_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
CH_Wind_Onshore,producer,True,True,False,77356.32865703155,300.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
CH_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
CH_Hydro,producer,True,False,False,0.0,,17100.0,17100.0,0.0,False,0,0.0,0.0,0
CH_Nuclear,producer,True,False,False,0.0,,1190.0,1190.0,0.0,False,0,0.0,0.0,0
CH_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
CH_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,2170.0,0.0,False,2170,70000.0,35000.0,0
CH_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,10732.0,0.0,False,10732,8800000.0,4400000.0,0
CH_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
CH_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
CH_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
AT_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
AT_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,13428.0,False,0,0.0,0.0,0
AT_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
AT_Wind_Onshore,producer,True,True,False,77356.32865703155,9000.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
AT_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
AT_Hydro,producer,True,False,False,0.0,,12190.0,12190.0,0.0,False,0,0.0,0.0,0
AT_Hydro_Reservoir,storage,True,False,False,0.0,,2489.0,2489.0,0.0,False,2489,757000.0,378500.0,0
AT_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
AT_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,300.0,0.0,False,300,1800.0,900.0,0
AT_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,5793.0,0.0,False,5793,1732600.0,866300.0,0
AT_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,551.25,False,0,0.0,,0
AT_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
AT_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
AT_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
AT_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
LU_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
LU_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,1272.0,False,0,0.0,0.0,0
LU_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
LU_Wind_Onshore,producer,True,True,False,77356.32865703155,400.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
LU_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
LU_Hydro,producer,True,False,False,0.0,,42.0,42.0,0.0,False,0,0.0,0.0,0
LU_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
LU_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,1310.0,0.0,False,1310,5000.0,2500.0,0
LU_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,193.33333333333334,False,0,0.0,,0
LU_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
LU_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
LU_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
LU_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
CZ_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
CZ_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,11417.0,False,0,0.0,0.0,0
CZ_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
CZ_Wind_Onshore,producer,True,True,False,77356.32865703155,742.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
