,,,{uniform;explicit;math},
from_asset,to_asset,rep_period,specification,partition
CH_PEMFC,CH_E_Demand,1,uniform,4
CH_H2Tank,CH_PEMFC,1,uniform,4
AT_E_Balance,CH_E_Demand,1,uniform,4
CH_E_Balance,AT_E_Demand,1,uniform,4
AT_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,AT_E_Demand,1,uniform,4
AT_E_Balance,AT_E_Demand,1,uniform,4
AT_E_ENS,AT_E_Demand,1,uniform,4
AT_Wind_Onshore,AT_E_Balance,1,uniform,4
AT_Solar,AT_E_Balance,1,uniform,4
AT_Hydro,AT_E_Balance,1,uniform,4
AT_Hydro_Reservoir,AT_E_Balance,1,uniform,4
AT_E_Balance,AT_Battery,1,uniform,4
AT_Battery,AT_E_Demand,1,uniform,4
AT_Battery,AT_PEMEC,1,uniform,4
AT_E_Balance,AT_Pump_Hydro_Closed,1,uniform,4
AT_Pump_Hydro_Closed,AT_E_Balance,1,uniform,4
AT_E_Balance,AT_Pump_Hydro_Open,1,uniform,4
AT_Pump_Hydro_Open,AT_E_Balance,1,uniform,4
AT_Blue_Hydrogen,AT_H_Demand,1,uniform,4
AT_E_Balance,AT_PEMEC,1,uniform,4
AT_PEMEC,AT_H2Tank,1,uniform,4
AT_PEMEC,AT_H_Demand,1,uniform,4
AT_PEMFC,AT_E_Demand,1,uniform,4
AT_H2Tank,AT_PEMFC,1,uniform,4
AT_H2Tank,AT_H_Demand,1,uniform,4
LU_E_Balance,BE_E_Demand,1,uniform,4
BE_E_Balance,LU_E_Demand,1,uniform,4
LU_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,LU_E_Demand,1,uniform,4
LU_E_Balance,FR_E_Demand,1,uniform,4
FR_E_Balance,LU_E_Demand,1,uniform,4
LU_E_Balance,LU_E_Demand,1,uniform,4
LU_E_ENS,LU_E_Demand,1,uniform,4
LU_Wind_Onshore,LU_E_Balance,1,uniform,4
LU_Solar,LU_E_Balance,1,uniform,4
LU_Hydro,LU_E_Balance,1,uniform,4
LU_E_Balance,LU_Battery,1,uniform,4
LU_Battery,LU_E_Demand,1,uniform,4
LU_Battery,LU_PEMEC,1,uniform,4
LU_E_Balance,LU_Pump_Hydro_Closed,1,uniform,4
LU_Pump_Hydro_Closed,LU_E_Balance,1,uniform,4
LU_Blue_Hydrogen,LU_H_Demand,1,uniform,4
LU_E_Balance,LU_PEMEC,1,uniform,4
LU_PEMEC,LU_H2Tank,1,uniform,4
LU_PEMEC,LU_H_Demand,1,uniform,4
