,asset_name,asset_name,{true;false},{true;false},{true;false},{true;false},kEUR/MWh,kEUR/MW/year,MW,MW,MW,MW,p.u.
carrier,from_asset,to_asset,active,is_transport,investable,investment_integer,variable_cost,investment_cost,investment_limit,capacity,initial_export_capacity,initial_import_capacity,efficiency
electricity,DK_E_Balance,DK_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,DK_PEMEC,DK_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
hydrogen,DK_PEMEC,DK_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,DK_PEMFC,DK_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,DK_H2Tank,DK_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,DK_H2Tank,DK_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,UK_E_Balance,BE_E_Demand,True,True,False,False,60,2.6957550984694505,,1000,1000,0,0.9
electricity,BE_E_Balance,UK_E_Demand,True,True,False,False,60,2.6957550984694505,,1000,1000,0,0.9
electricity,UK_E_Balance,DK_E_Demand,True,True,False,False,50,2.6957550984694505,,1000,1400,0,0.9
electricity,DK_E_Balance,UK_E_Demand,True,True,False,False,50,2.6957550984694505,,1000,1400,0,0.9
electricity,UK_E_Balance,FR_E_Demand,True,True,False,False,90,2.6957550984694505,,1000,2000,0,0.9
electricity,FR_E_Balance,UK_E_Demand,True,True,False,False,90,2.6957550984694505,,1000,2000,0,0.9
electricity,UK_E_Balance,NL_E_Demand,True,True,False,False,58,2.6957550984694505,,1000,2000,0,0.9
electricity,NL_E_Balance,UK_E_Demand,True,True,False,False,58,2.6957550984694505,,1000,2000,0,0.9
electricity,UK_E_Balance,UK_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,UK_E_ENS,UK_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,UK_Wind_Onshore,UK_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,UK_Wind_Offshore,UK_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
electricity,UK_Solar,UK_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,UK_Hydro,UK_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,UK_Nuclear,UK_E_Balance,True,False,True,False,11.5,0.0,,1000,0,0,1.0
electricity,UK_E_Balance,UK_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,UK_Battery,UK_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,UK_Battery,UK_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,UK_E_Balance,UK_Pump_Hydro_Closed,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,UK_Pump_Hydro_Closed,UK_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,UK_E_Balance,UK_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,UK_PEMEC,UK_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,UK_PEMFC,UK_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,UK_H2Tank,UK_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,IE_E_Balance,UK_E_Demand,True,True,False,False,37,2.6957550984694505,,1000,504,0,0.9
electricity,UK_E_Balance,IE_E_Demand,True,True,False,False,37,2.6957550984694505,,1000,504,0,0.9
electricity,IE_E_Balance,FR_E_Demand,True,True,False,False,98,2.6957550984694505,,1000,700,0,0.9
electricity,FR_E_Balance,IE_E_Demand,True,True,False,False,98,2.6957550984694505,,1000,700,0,0.9
electricity,IE_E_Balance,IE_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,IE_E_ENS,IE_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,IE_Wind_Onshore,IE_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,IE_Wind_Offshore,IE_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
